代码,日期,开盘,最高,最低,收盘,成交量,成交额,涨数,跌数,MA1,MA2,MA3,MA4,MA5,MA6
SH000001,1990/12/19,96.05,99.98,95.79,99.98,1260,494311,8,0,,,,,,
SH000001,1990/12/20,104.3,104.39,99.98,104.39,197,84992,3,0,,,,,,
SH000001,1990/12/21,109.07,109.13,103.73,109.13,28,16096,5,0,,,,,,
SH000001,1990/12/24,113.57,114.55,109.13,114.55,32,31063,6,0,,,,,,
SH000001,1990/12/25,120.09,120.25,114.55,120.25,15,6510,5,0,109.66,,,,,
SH000001,1990/12/26,125.27,125.27,120.25,125.27,100,53730,3,0,114.718,,,,,
SH000001,1990/12/27,125.27,125.28,125.27,125.28,66,104644,1,0,118.896,,,,,
SH000001,1990/12/28,126.39,126.45,125.28,126.45,108,88031,5,0,122.36,,,,,
SH000001,1990/12/31,126.56,127.61,126.48,127.61,78,60030,5,0,124.972,,,,,
SH000001,1991/1/2,127.61,128.84,127.61,128.84,91,59098,6,0,126.69,118.175,,,,
SH000001,1991/1/3,128.84,130.14,128.84,130.14,141,93918,5,0,127.664,121.191,,,,
SH000001,1991/1/4,131.27,131.44,130.14,131.44,420,261904,5,0,128.896,123.896,,,,
SH000001,1991/1/7,131.99,132.06,131.45,132.06,217,141737,5,0,130.018,126.189,,,,
SH000001,1991/1/8,132.62,132.68,132.06,132.68,2926,1806867,6,0,131.032,128.002,,,,
SH000001,1991/1/9,133.3,133.34,132.68,133.34,5603,3228719,5,0,131.932,129.311,,,,
SH000001,1991/1/10,133.93,133.97,133.34,133.97,9990,5399457,4,1,132.698,130.181,,,,
SH000001,1991/1/11,134.61,134.61,134.51,134.6,13327,7115732,6,1,133.33,131.113,,,,
SH000001,1991/1/14,134.11,135.19,134.11,134.67,12530,6883604,4,1,133.852,131.935,,,,
SH000001,1991/1/15,134.21,134.74,134.19,134.74,1446,1010364,3,0,134.264,132.648,,,,
SH000001,1991/1/16,134.19,134.74,134.14,134.24,509,270133,3,1,134.444,133.188,125.682,,,
SH000001,1991/1/17,133.67,134.25,133.65,134.25,658,334238,2,2,134.5,133.599,127.395,,,
SH000001,1991/1/18,133.7,134.25,133.67,134.24,3004,1570833,2,3,134.428,133.879,128.887,,,
SH000001,1991/1/21,133.7,134.24,133.66,134.24,2051,1029305,2,1,134.342,134.097,130.143,,,
SH000001,1991/1/22,133.72,134.24,133.66,133.72,354,180787,3,2,134.138,134.201,131.102,,,
SH000001,1991/1/23,133.17,133.72,133.14,133.17,1095,575928,2,4,133.924,134.184,131.747,,,
SH000001,1991/1/24,132.61,133.17,132.57,132.61,1857,917392,2,4,133.596,134.048,132.115,,,
SH000001,1991/1/25,132.05,132.07,132.03,132.05,3447,1722246,2,4,133.158,133.793,132.453,,,
SH000001,1991/1/28,131.46,131.55,131.46,131.46,5107,2565573,1,3,132.602,133.472,132.704,,,
SH000001,1991/1/29,130.95,130.97,130.95,130.95,1387,710741,2,3,132.048,133.093,132.87,,,
SH000001,1991/1/30,130.44,130.95,130.41,130.44,527,260701,3,3,131.502,132.713,132.951,128.025,,
SH000001,1991/1/31,129.93,130.46,129.93,129.97,510,244662,2,3,130.974,132.285,132.942,129.025,,
SH000001,1991/2/1,129.5,129.97,129.45,129.51,345,140871,2,1,130.466,131.812,132.846,129.862,,
SH000001,1991/2/4,129.05,129.58,129.05,129.05,553,273652,2,2,129.984,131.293,132.695,130.526,,
SH000001,1991/2/5,128.56,128.58,128.53,128.58,8562,4250084,2,3,129.51,130.779,132.49,130.994,,
SH000001,1991/2/6,129.13,129.15,128.06,129.14,6641,3847268,4,1,129.25,130.376,132.28,131.29,,
SH000001,1991/2/7,129.74,129.79,129.14,129.79,2133,1504814,6,0,129.214,130.094,132.071,131.441,,
SH000001,1991/2/8,130.36,130.39,129.79,130.38,1234,879868,4,0,129.388,129.927,131.86,131.611,,
SH000001,1991/2/11,130.92,130.97,130.39,130.97,9317,4834876,4,1,129.772,129.878,131.675,131.762,,
SH000001,1991/2/12,131.54,131.56,130.97,131.35,3774,1986983,4,1,130.326,129.918,131.506,131.886,,
SH000001,1991/2/13,131.93,131.93,131.35,131.92,1152,673738,4,1,130.882,130.066,131.389,131.989,,
SH000001,1991/2/14,132.53,132.53,132.3,132.53,3624,1883072,4,1,131.43,130.322,131.303,132.069,,
SH000001,1991/2/19,133.12,133.14,133.08,133.13,1748,1216176,3,1,131.98,130.684,131.248,132.125,,
SH000001,1991/2/20,133.63,133.67,133.13,133.67,876,520724,4,1,132.52,131.146,131.219,132.179,,
SH000001,1991/2/21,134.24,134.28,133.67,134.28,3220,1771726,5,1,133.106,131.716,131.247,132.232,,
SH000001,1991/2/22,134.85,134.87,134.28,134.87,3427,2003776,5,1,133.696,132.289,131.333,132.283,,
SH000001,1991/2/25,134.37,134.87,134.33,134.4,810,621015,3,2,134.07,132.75,131.422,132.297,,
SH000001,1991/2/26,133.9,134.44,133.9,133.93,1094,2545711,3,2,134.23,133.105,131.516,132.275,,
SH000001,1991/2/27,133.44,133.98,133.44,133.47,214,141958,4,1,134.19,133.355,131.617,132.235,,
