代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元),流通盘换手率,全流通换手率,复权系数
SH600476,2003-12-10,11.2300,12.0000,11.1600,11.9900,21652200,249176000.00,0.61863429,0.209707,1.0000
SH600476,2003-12-11,11.9000,12.4800,11.8600,12.3700,13295000,161356000.00,0.37985714,0.128765,1.0000
SH600476,2003-12-12,12.3000,12.4100,12.1600,12.2000,4801400,58833000.00,0.13718286,0.046503,1.0000
SH600476,2003-12-15,12.2100,12.4000,11.7300,11.8300,6348800,76302000.00,0.18139429,0.061490,1.0000
SH600476,2003-12-16,11.7800,11.9500,11.5000,11.7700,4489200,52509000.00,0.12826286,0.043479,1.0000
SH600476,2003-12-17,11.7400,11.9300,11.5200,11.5400,3164900,37005000.00,0.09042571,0.030653,1.0000
SH600476,2003-12-18,11.5000,11.5400,11.2100,11.3000,3241100,36702000.00,0.09260286,0.031391,1.0000
SH600476,2003-12-19,11.2200,11.3600,10.1700,10.5100,7487100,78570000.00,0.21391714,0.072514,1.0000
SH600476,2003-12-22,10.4000,10.9700,9.9000,10.8000,5225400,54438000.00,0.14929714,0.050609,1.0000
SH600476,2003-12-23,10.6800,11.1400,10.1800,10.9100,4863900,52445000.00,0.13896857,0.047108,1.0000
SH600476,2003-12-24,10.8800,10.9100,10.6100,10.7300,1938700,20811000.00,0.05539143,0.018777,1.0000
SH600476,2003-12-25,10.6800,10.8400,10.5000,10.6000,1827400,19546000.00,0.05221143,0.017699,1.0000
SH600476,2003-12-26,10.5000,11.6600,10.5000,11.2000,6146100,69290000.00,0.17560286,0.059526,1.0000
SH600476,2003-12-29,11.0600,11.3800,10.9500,11.1900,2028700,22719000.00,0.05796286,0.019648,1.0000
SH600476,2003-12-30,11.2700,11.3500,11.0100,11.2100,1739500,19398000.00,0.04970000,0.016847,1.0000
SH600476,2003-12-31,11.2500,11.6300,11.1000,11.1400,2689600,30682000.00,0.07684571,0.026049,1.0000
SH600476,2004-01-02,10.9800,11.6000,10.9300,11.5400,3537800,40346000.00,0.10108000,0.034264,1.0000
SH600476,2004-01-05,11.8800,12.6900,11.8800,12.4000,9064300,111668000.00,0.25898000,0.087790,1.0000
SH600476,2004-01-06,12.3900,13.6400,12.2100,13.6400,7599500,98031000.00,0.21712857,0.073603,1.0000
SH600476,2004-01-07,13.8800,14.5200,13.8200,14.0400,8093300,113920000.00,0.23123714,0.078385,1.0000
