代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元),流通盘换手率,全流通换手率,复权系数
SZ200045,1994-08-15,2.6500,2.7000,2.6500,2.6500,50000,148000.00,0.00200000,0.000404,1.0000
SZ200045,1994-08-16,2.6000,2.6000,2.6000,2.6000,56000,163000.00,0.00224000,0.000452,1.0000
SZ200045,1994-08-17,2.5000,2.6000,2.5000,2.5500,26000,74000.00,0.00104000,0.000210,1.0000
SZ200045,1994-08-18,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-08-19,2.5500,2.5500,2.5500,2.5500,2000,5000.00,0.00008000,0.000016,1.0000
SZ200045,1994-08-22,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-08-23,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-08-24,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-08-26,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-08-29,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-08-30,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-08-31,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-01,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-02,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-05,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-06,2.5500,2.5500,2.5500,2.5500,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-07,3.0000,3.0000,3.0000,3.0000,10000,33000.00,0.00040000,0.000081,1.0000
SZ200045,1994-09-08,2.8000,3.2000,2.8000,3.2000,80000,274000.00,0.00320000,0.000646,1.0000
SZ200045,1994-09-09,3.2000,3.3000,3.2000,3.3000,54000,198000.00,0.00216000,0.000436,1.0000
SZ200045,1994-09-12,3.4500,3.4500,3.4500,3.4500,46000,177000.00,0.00184000,0.000372,1.0000
SZ200045,1994-09-13,3.4500,3.4500,3.4500,3.4500,20000,77000.00,0.00080000,0.000162,1.0000
SZ200045,1994-09-14,3.5000,3.5000,3.5000,3.5000,38000,149000.00,0.00152000,0.000307,1.0000
SZ200045,1994-09-15,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-16,3.5000,3.5000,3.5000,3.5000,8000,31000.00,0.00032000,0.000065,1.0000
SZ200045,1994-09-19,3.5000,3.5000,3.5000,3.5000,2000,7000.00,0.00008000,0.000016,1.0000
SZ200045,1994-09-20,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-21,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-22,3.5000,3.5000,3.5000,3.5000,10000,39000.00,0.00040000,0.000081,1.0000
SZ200045,1994-09-23,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-26,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-27,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-28,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-29,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-09-30,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-05,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-06,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-07,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-10,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-11,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-12,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-13,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-14,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-17,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-18,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-19,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-20,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-21,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
SZ200045,1994-10-24,3.5000,3.5000,3.5000,3.5000,0,0.00,0.00000000,0.000000,1.0000
